Instructor,Town,Sodium
BrendonSmall,Squiggleville,1200
BrendonSmall,Squiggleville,1400
BrendonSmall,Squiggleville,1350
BrendonSmall,Metalocalypse,950
BrendonSmall,Squiggleville,1400
BrendonSmall,Squiggleville,1150
BrendonSmall,Squiggleville,1300
BrendonSmall,Metalocalypse,1325
BrendonSmall,Metalocalypse,1425
BrendonSmall,Squiggleville,1500
BrendonSmall,Squiggleville,1250
BrendonSmall,Metalocalypse,1150
BrendonSmall,Metalocalypse,950
BrendonSmall,Squiggleville,1150
BrendonSmall,Metalocalypse,1600
BrendonSmall,Metalocalypse,1300
BrendonSmall,Metalocalypse,1050
BrendonSmall,Metalocalypse,1300
BrendonSmall,Squiggleville,1700
BrendonSmall,Squiggleville,1300
CoachMcGuirk,Squiggleville,1100
CoachMcGuirk,Squiggleville,1200
CoachMcGuirk,Squiggleville,1250
CoachMcGuirk,Metalocalypse,1050
CoachMcGuirk,Metalocalypse,1200
CoachMcGuirk,Metalocalypse,1250
CoachMcGuirk,Squiggleville,1350
CoachMcGuirk,Squiggleville,1350
CoachMcGuirk,Squiggleville,1325
CoachMcGuirk,Squiggleville,1525
CoachMcGuirk,Squiggleville,1225
CoachMcGuirk,Squiggleville,1125
CoachMcGuirk,Metalocalypse,1000
CoachMcGuirk,Metalocalypse,1125
CoachMcGuirk,Squiggleville,1400
CoachMcGuirk,Metalocalypse,1200
CoachMcGuirk,Squiggleville,1150
CoachMcGuirk,Squiggleville,1400
CoachMcGuirk,Squiggleville,1500
CoachMcGuirk,Squiggleville,1200
MelissaRobins,Metalocalypse,900
MelissaRobins,Metalocalypse,1100
MelissaRobins,Metalocalypse,1150
MelissaRobins,Metalocalypse,950
MelissaRobins,Metalocalypse,1100
MelissaRobins,Metalocalypse,1150
MelissaRobins,Squiggleville,1250
MelissaRobins,Squiggleville,1250
MelissaRobins,Squiggleville,1225
MelissaRobins,Squiggleville,1325
MelissaRobins,Metalocalypse,1125
MelissaRobins,Metalocalypse,1025
MelissaRobins,Metalocalypse,950
MelissaRobins,Metalocalypse,925
MelissaRobins,Squiggleville,1200
MelissaRobins,Metalocalypse,1100
MelissaRobins,Metalocalypse,950
MelissaRobins,Metalocalypse,1300
MelissaRobins,Squiggleville,1400
MelissaRobins,Metalocalypse,1100
